"","id","stat_id","sitename","lat","long","x","y","stepps-abs_mag","stepps-BC","refab-settlebiomass","refab-second_deriv1000","pol-min_age","pol-max_age","pol-n_ages"
"NA.74",13073,183,"FallisonLake",45.9915,-89.62075,507717.032464717,1066569.93619601,0.494911154722012,0.3021125696902,NA,NA,231.181427206761,1836.4181959941,12
"36",13097,219,"GlimmerglassLake",46.21517,-89.32082,532722.847691788,1089610.9794462,0.437274895005921,0.270029591872795,NA,8.2427938486089e-10,377.427801253482,1671.16557503586,4
"NA.75",14270,126,"BassLake",45.19932,-94.878745,90982.3483906694,1024720.70558696,0.376195877124338,0.195256719600369,NA,NA,299.227920798887,1913.48797461717,9
"NA.76",14410,220,"TowerLake",46.542635,-86.037795,786467.312931123,1112121.26841985,0.254591195576677,0.266879734871493,NA,NA,1625.48115031468,1905.01645639902,2
"NA.77",14435,128,"JohnsonLake",45.44376,-95.272065,64521.7856262943,1056154.65291163,0,0.188870431195527,NA,NA,171.216195402213,429.967878417036,5
"NA.78",14443,221,"TowerLake",46.542635,-86.037795,786467.312931123,1112121.26841985,0.254591195576677,0.266879734871493,NA,NA,182.496620697636,457.491748132761,4
"NA.79",14446,184,"HellHoleLake",45.786565,-92.21898,305160.267847258,1063039.71313583,0.309466304025927,0.236218533967008,NA,NA,181.764115849133,1977.90648221717,31
"NA.80",14535,129,"LilyLake",44.19291,-93.63978,172806.603751008,900362.916952259,0.0548482381907886,0.0478914767480384,NA,NA,172.32071184819,833.010983157787,10
"NA.81",14537,130,"Kelly-DudleyLake",44.354435,-93.365935,196745.946548149,915414.927218456,0.040672972232446,0.0349008436986574,NA,NA,153.161789330373,1937.39591314207,13
"NA.82",14539,131,"MarthaLake",45.141805,-93.73915,178686.46401102,1006111.62596012,0.234081841231799,0.143897561187099,NA,NA,328.238162684241,1882.56771677811,21
"NA.83",14626,132,"Minnreg",44.693385,-93.3212,204994.092643534,952398.525767773,0.0729582799903964,0.0606998253847919,NA,NA,210.132328635925,794.084397361888,12
"NA.84",14631,133,"AmberLake",43.60715,-94.473645,97770.6557846897,844749.98277805,0.0260299132395379,0.123176829109422,NA,NA,183.563336083538,1097.842105063,11
"NA.85",14633,134,"CampLake",45.16204,-94.0929,151459.501589684,1012019.10822585,0.240090958344562,0.142888392428754,NA,NA,161.699815410054,1716.86919928986,18
"NA.86",14635,135,"CrystalLake",44.333485,-93.212125,208606.184523449,911575.845994256,0.040672972232446,0.0349008436986574,NA,NA,215.373955121718,1933.23293804031,17
"NA.87",14637,136,"FishLake",44.229535,-93.665425,171303.258385007,904668.670269736,0.0548482381907886,0.0478914767480384,NA,NA,160.931549845895,786.261797925767,10
"NA.88",14639,137,"FishLake",44.65162,-93.460155,193496.337612673,949170.937198225,0.0729582799903964,0.0606998253847919,NA,NA,194.891379913267,1795.6071517088,18
